#RelName_Hindu,RelName_English,RelName_Muslim
Maan,Mother,Walida
Pita,Father,Walid
Behan,Sister,Behan
Bhai,Brother,Bhai
Beta,Son,Beta
Beti,Daughter,Beti
Patni,Wife,Biwi
Pati,Husband,Shohar
Dada,Grand Father,Dada
Dadi,Grand Mother,Dadi
Nana,Grand Father,Nana
Nani,Grand Mother,Nani
Taau,Uncle,Bade Abba
Chacha,Uncle,Chacha
Taai,Aunt,Badi Ammi
Chachi,Aunt,Chachchi
Bua,Aunt,Fufi
Fufa,Aunt,Fuffa
Mama,Uncle,Mamu
Mami,Aunt,Mumani
Mausi,Aunt,Khala
Mausa,Uncle,Khalu
Nati,Grand Son,Nati
Natin,Grand Daughter,Natin
Pota,Grand Son,Pota
Poti,Grand Daughter,Poti
Bhanja,Nephew,Bhanja
Bhanji,Niece,Bhanji
Bhatija,Nephew,Bhatija
Bhatija,Nephew,Bhatija
Bhatiji,Niece,Bhatiji
Bhatiji,Niece,Bhatiji
Chachera Bhai,Cousin,Chachera Bhai
Fufera Bhai,Cousin,Fufera Bhai
Chacheri Behan,Cousin,Chacheri Behan
Fuferi Behan,Cousin,Fuferi Behan
Mamera Bhai,Cousin,Mamera Bhai
Mosera Bhai,Cousin,Mosera Bhai
Mameri Behan,Cousin,Mameri Behan
Moseri Behan,Cousin,Moseri Behan
Saas,Mother in Law,Saas
Sasur,Father in Law,Sasur
Akkad Saas,Sister in Law,Akkad Saas
Saali,Sister in Law,Saali
Saala,Brother in Law,Saala
Jeth,Brother in Law,Jeth
Devar,Brother in Law,Devar
Jethani,Sister in Law,Jethani
Devrani,Sister in Law,Devrani
Nand,Sister in Law,Nand
Nandoi,Brother in Law,Nandoi
Saadu Bhai,Brother in Law,Saadu Bhai
Bhabhi,Sister in Law,Bhabhi
Bhabhi(Bahu),Sister in Law,Bhabhi(Bahu)
Jijaji,Brother in Law,Behnoi
Samdhi,Brother in Law,Samdhi
Samdhan,Sister in Law,Samdhan
Bahu,Daughter in Law,Bahu
Damad,Son in Law,Damad
